industry,occupation,yrs_qual,sex,highest_qual,area_of_study,influencing,negotiating,sector,workforce_change,no_subordinates,choose_hours,choose_method,job_quals,qual_needed,experience_needed,keeping_current,satisfaction,advising,instructing,problem_solving_quick,problem_solving_long,labour,manual_skill,computer,group_meetings,computer_level,monthly_salary
Q,2,19,1,13,4,2,1,1,3,3,3,4,13,1,5,4,2,5,4,5,4,4,5,1,1,2,23833.33333
C,9,14,1,11,7,4,2,1,1,0,3,4,7,1,1,4,3,5,3,5,3,4,5,1,1,1,6583.333333
L,3,16,2,12,4,2,1,1,3,0,5,5,9,1,3,2,2,3,1,4,2,1,5,1,1,2,433.3333333
Q,5,12,2,7,4,5,4,2,1,0,3,1,7,1,3,5,2,5,2,5,2,5,5,2,1,0,379
P,1,18,1,13,4,3,4,3,3,0,3,4,12,1,6,3,2,4,2,5,4,1,5,1,2,2,4583.333333
Q,5,12,2,7,4,5,4,2,3,0,1,4,7,1,1,5,2,5,5,5,3,5,5,1,1,1,4201.666667
G,1,12,1,7,8,4,1,1,3,2,4,4,7,1,1,5,5,4,3,5,4,5,5,1,1,1,3831.666667
G,5,12,1,7,1,5,5,2,3,1,2,3,7,1,1,4,3,5,1,5,2,4,5,1,1,2,2166.75
I,5,9,2,3,0,5,5,1,3,1,5,5,3,3,1,5,2,5,5,5,5,5,5,1,1,2,1980
E,3,14,1,11,4,5,5,1,3,0,5,1,7,2,5,5,1,5,1,2,2,1,1,1,1,1,3416.666667
J,7,12,1,7,7,4,1,1,1,0,1,3,7,2,3,5,2,5,5,5,4,5,5,1,1,1,2925.083333
N,9,12,2,7,6,1,1,1,2,0,1,2,3,1,1,1,3,1,1,2,1,5,5,2,1,0,693.3333333
Q,3,13,2,9,8,1,1,1,3,0,1,2,9,1,3,4,2,4,1,2,1,4,5,1,1,2,3640
A,9,12,1,7,1,3,2,1,1,0,4,4,7,1,3,2,2,4,2,4,2,2,5,2,1,0,2826.666667
I,5,14,1,11,5,3,1,1,3,0,3,4,7,2,5,3,2,4,2,4,2,5,5,1,1,1,3791.666667
M,1,18,1,13,6,4,3,2,3,1,3,5,13,2,5,3,1,4,4,5,5,5,5,1,3,2,6166.666667
Q,3,13,2,9,8,5,5,1,3,0,2,3,9,2,3,5,2,5,3,5,4,5,5,1,2,3,3120
O,4,13,2,9,9,2,1,2,2,0,3,4,13,3,6,4,2,3,2,3,2,4,5,1,3,2,4666.666667
K,1,12,2,7,4,5,5,1,2,1,5,5,7,1,6,1,5,5,5,5,4,1,1,1,4,2,8775
P,2,16,2,12,8,5,5,1,3,0,1,3,7,2,1,1,2,4,5,4,1,2,4,1,1,1,1050
Q,3,13,2,9,8,1,1,1,3,0,1,2,9,1,3,1,2,4,1,5,3,5,5,2,1,0,2643.333333
O,5,9,2,3,0,2,3,2,3,0,3,2,3,1,1,4,2,5,3,5,3,2,2,2,1,0,1248
Q,3,16,2,12,5,5,5,2,3,0,3,3,7,2,4,4,2,4,1,5,4,5,5,1,1,2,2197
Q,2,12,2,7,9,4,4,3,1,4,4,4,9,1,5,5,2,4,4,4,3,4,4,1,2,2,3600
P,2,14,2,11,3,4,5,1,1,1,3,3,12,2,6,2,1,5,4,5,4,5,5,1,2,2,2937.5
I,9,12,1,7,1,1,1,1,3,0,3,1,7,1,1,2,3,2,3,2,1,5,5,2,1,0,468
Q,3,12,2,7,4,1,1,3,2,2,1,4,12,2,6,1,2,5,3,5,3,1,5,1,5,2,4750
J,2,12,1,7,6,3,3,2,3,0,3,3,9,1,5,3,2,4,2,5,3,1,1,1,5,3,8333.333333
P,1,16,2,12,4,2,3,2,2,1,3,4,12,2,6,4,3,4,5,5,3,2,5,1,3,2,5833.333333
Q,3,14,2,11,4,1,1,1,3,0,3,1,7,1,3,3,3,1,2,5,1,1,5,1,1,2,2815
L,3,12,2,7,5,5,5,1,3,0,1,3,7,1,5,3,2,5,5,4,2,2,3,1,2,2,3266.666667
Q,3,18,2,13,8,5,5,3,1,0,3,5,12,1,6,5,1,5,5,5,5,4,5,1,4,2,6120
M,2,18,2,13,6,5,3,1,2,0,5,3,12,1,6,5,2,5,4,5,5,1,1,1,1,2,5833.333333
M,2,16,2,12,5,1,2,1,3,0,3,2,12,2,1,2,4,2,1,3,2,2,5,1,2,1,2811.466667
C,4,9,2,3,0,1,1,1,2,0,3,5,1,1,1,5,2,4,2,5,5,5,5,1,1,1,2124.333333
G,5,14,2,11,7,5,5,1,3,0,5,4,3,1,2,2,3,1,2,2,1,5,5,1,1,1,1289.166667
K,4,12,1,7,6,1,1,1,3,0,3,2,7,1,3,1,3,1,2,5,3,5,5,1,2,2,3175
P,3,12,2,7,4,2,1,2,1,0,3,3,7,2,6,5,2,3,2,5,3,1,5,1,1,2,4500
I,9,9,2,3,0,5,3,1,3,0,3,3,3,1,2,3,2,2,4,4,2,5,5,1,1,1,370
P,2,18,2,13,2,5,5,2,3,0,2,4,12,1,4,5,2,5,5,5,4,2,3,1,1,2,4833.333333
G,2,16,1,12,4,5,5,1,2,0,5,5,12,1,6,5,2,5,2,5,3,1,5,1,5,2,17083.33333
R,1,14,1,11,7,5,5,1,3,2,2,5,9,2,1,3,2,5,5,5,4,5,5,1,2,2,3293.333333
C,9,12,2,7,6,1,5,1,1,0,2,2,7,2,5,3,3,5,3,5,3,5,5,1,1,1,4500
C,1,16,2,12,4,5,5,1,1,2,3,5,13,1,6,5,1,5,5,4,5,3,5,1,5,2,8333.333333
P,2,18,2,13,8,3,4,2,3,0,4,4,13,1,6,3,1,4,5,5,4,2,5,1,2,2,7083.333333
J,7,9,2,3,0,5,5,1,2,0,3,3,7,1,1,5,2,5,4,5,4,5,5,1,4,1,1563.166667
G,2,13,2,9,2,3,3,2,1,4,4,4,11,2,5,3,1,4,5,5,4,1,5,1,2,2,3553.333333
H,9,12,1,7,1,5,5,1,2,0,3,1,7,3,4,3,3,5,5,5,4,5,5,1,1,2,3481.666667
I,4,12,1,7,8,3,5,1,3,1,2,4,7,2,1,3,2,5,2,3,2,4,5,1,1,1,2370.833333
P,4,14,2,11,1,1,1,3,3,0,4,5,11,1,6,2,2,1,5,5,3,3,5,1,1,2,3447
I,5,12,1,7,8,1,1,1,3,1,3,3,7,1,5,3,2,2,5,5,2,5,5,2,1,0,3206.666667
J,2,12,1,7,4,5,4,1,1,1,5,5,12,2,5,5,2,5,5,5,4,1,5,1,5,3,5854.166667
I,5,12,1,7,8,4,3,1,3,0,2,4,7,2,3,4,2,5,4,5,3,5,5,2,1,0,2888.166667
G,1,14,2,11,3,4,5,1,1,3,4,5,12,1,6,4,2,5,5,5,4,1,5,1,4,2,6833.333333
M,3,13,2,9,1,3,1,1,3,0,1,5,7,1,6,1,1,2,1,1,1,4,5,1,1,2,5000
G,9,13,1,9,5,1,4,1,3,0,3,4,7,2,2,1,3,2,1,4,1,5,5,1,1,1,1863.333333
P,2,18,2,13,2,5,1,2,3,0,1,3,12,1,3,2,2,4,5,5,4,1,5,1,1,1,3933.333333
Q,5,16,2,12,4,5,1,2,1,0,3,3,7,3,5,2,4,4,3,4,2,5,5,2,1,0,1733.333333
H,8,12,1,7,6,4,1,1,1,0,3,4,7,1,5,1,2,5,1,4,3,5,5,2,1,0,3796.666667
R,1,16,2,12,5,1,1,2,3,1,5,5,12,2,6,2,3,2,2,3,3,1,5,1,2,2,4916.666667
G,8,12,1,7,6,2,1,2,3,0,1,1,7,1,4,5,3,5,5,3,2,5,5,2,1,0,2621.75
O,9,12,2,7,1,1,1,2,3,0,3,1,7,1,3,1,2,1,1,3,3,5,5,2,1,0,1962.133333
C,3,12,1,7,4,5,5,1,3,4,2,5,7,1,1,2,2,5,5,5,1,5,5,1,4,1,6491.666667
G,9,14,1,11,4,1,1,1,3,0,3,3,7,2,3,2,4,5,2,5,2,5,5,1,1,1,3466.666667
C,9,12,2,7,1,4,1,1,2,0,4,4,7,1,2,5,5,1,5,1,1,5,5,2,1,0,1841.666667
Q,2,16,2,12,5,1,4,2,2,0,1,1,12,2,6,3,4,5,1,1,1,1,5,1,1,2,9583.333333
C,1,12,2,7,1,3,2,1,1,1,2,4,7,1,4,5,2,5,5,1,2,3,5,1,1,2,1713
I,5,9,2,3,0,5,1,1,2,2,1,2,3,2,2,1,1,5,5,4,1,5,5,2,1,0,1515
I,5,12,2,7,4,5,5,1,3,0,5,5,11,1,3,3,2,5,2,5,5,5,5,2,1,0,1300
K,3,18,2,13,4,2,5,1,3,0,2,4,12,2,5,2,2,5,3,5,4,1,5,1,2,3,3775
I,9,9,1,3,0,4,1,1,3,1,2,3,3,1,3,2,2,4,4,4,2,3,4,1,1,1,784.1666667
I,9,9,2,3,0,5,5,1,3,0,3,2,3,1,1,5,2,5,4,5,1,5,5,1,1,1,758.3333333
C,4,16,2,12,5,5,5,1,1,0,5,5,12,1,5,4,2,5,2,5,4,1,5,1,1,2,3541.666667
I,5,12,1,7,6,5,5,1,1,1,1,4,7,1,1,2,2,5,5,1,1,5,5,2,1,0,2272.666667
G,3,16,1,12,4,5,5,1,3,0,4,4,12,2,6,4,2,3,3,3,1,1,2,1,4,2,3691.666667
G,2,16,1,12,3,5,4,2,3,0,5,3,12,1,6,5,1,5,4,5,4,3,5,1,3,2,10000
Q,2,19,1,13,8,5,1,1,3,0,1,3,13,1,1,3,2,5,1,5,1,1,2,1,1,1,10416.66667
G,5,12,2,7,1,2,2,1,3,0,3,3,3,1,3,4,4,3,3,3,2,5,4,1,1,1,1733.333333
I,3,12,1,7,8,1,3,1,1,1,3,5,7,1,5,3,3,2,2,4,2,5,5,1,1,1,1404
H,8,12,1,7,6,4,1,1,2,0,1,3,7,2,1,1,4,5,1,5,2,5,5,1,1,1,4333.333333
